ID,Topic,Question,Option A,Option B,Option C,Option D,Correct Letter,Correct Index,Active,Notes
1,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,Example
2,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,Avoid leading hints
3,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,Example
4,Algebra,What is x if x + 5 = 10?,4,5,6,7,B,1,Yes,
5,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
6,Number,What is 6 + 19?,23,24,25,26,C,2,Yes,
7,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
8,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
9,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
10,Algebra,What is x if x + 8 = 16?,7,8,9,10,B,1,Yes,
11,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
12,Number,What is 19 + 16?,33,34,35,36,C,2,Yes,
13,Number,What is 3 + 9?,10,11,12,13,C,2,Yes,
14,Number,What is 16 + 2?,16,17,18,19,C,2,Yes,
15,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
16,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
17,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
18,Number,What is 3 + 7?,8,9,10,11,C,2,Yes,
19,Algebra,What is x if x + 10 = 20?,9,10,11,12,B,1,Yes,
20,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
21,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
22,Number,What is 15 + 19?,32,33,34,35,C,2,Yes,
23,Number,What is 3 + 7?,8,9,10,11,C,2,Yes,
24,Algebra,What is x if x + 2 = 4?,1,2,3,4,B,1,Yes,
25,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
26,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
27,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
28,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
29,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
30,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
31,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
32,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
33,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
34,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
35,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
36,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
37,Number,What is 12 + 13?,23,24,25,26,C,2,Yes,
38,Number,What is 8 + 11?,17,18,19,20,C,2,Yes,
39,Number,What is 13 + 15?,26,27,28,29,C,2,Yes,
40,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
41,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
42,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
43,Number,What is 18 + 10?,26,27,28,29,C,2,Yes,
44,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
45,Algebra,What is x if x + 7 = 14?,6,7,8,9,B,1,Yes,
46,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
47,Number,What is 2 + 16?,16,17,18,19,C,2,Yes,
48,Number,What is 16 + 2?,16,17,18,19,C,2,Yes,
49,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
50,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
51,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
52,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
53,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
54,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
55,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
56,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
57,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
58,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
59,Algebra,What is x if x + 10 = 20?,9,10,11,12,B,1,Yes,
60,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
61,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
62,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
63,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
64,Number,What is 8 + 18?,24,25,26,27,C,2,Yes,
65,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
66,Algebra,What is x if x + 7 = 14?,6,7,8,9,B,1,Yes,
67,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
68,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
69,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
70,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
71,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
72,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
73,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
74,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
75,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
76,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
77,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
78,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
79,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
80,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
81,Number,What is 3 + 12?,13,14,15,16,C,2,Yes,
82,Number,What is 6 + 13?,17,18,19,20,C,2,Yes,
83,Algebra,What is x if x + 5 = 10?,4,5,6,7,B,1,Yes,
84,Algebra,What is x if x + 2 = 4?,1,2,3,4,B,1,Yes,
85,Number,What is 13 + 11?,22,23,24,25,C,2,Yes,
86,Number,What is 11 + 8?,17,18,19,20,C,2,Yes,
87,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
88,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
89,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
90,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
91,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
92,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
93,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
94,Number,What is 8 + 14?,20,21,22,23,C,2,Yes,
95,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
96,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
97,Algebra,What is x if x + 6 = 12?,5,6,7,8,B,1,Yes,
98,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
99,Number,What is 2 + 7?,7,8,9,10,C,2,Yes,
100,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
101,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
102,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
103,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
104,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
105,Number,What is 18 + 4?,20,21,22,23,C,2,Yes,
106,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
107,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
108,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
109,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
110,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
111,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
112,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
113,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
114,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
115,Number,What is 6 + 4?,8,9,10,11,C,2,Yes,
116,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
117,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
118,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
119,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
120,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
121,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
122,Number,What is 4 + 18?,20,21,22,23,C,2,Yes,
123,Number,What is 10 + 14?,22,23,24,25,C,2,Yes,
124,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
125,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
126,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
127,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
128,Algebra,What is x if x + 8 = 16?,7,8,9,10,B,1,Yes,
129,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
130,Algebra,What is x if x + 8 = 16?,7,8,9,10,B,1,Yes,
131,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
132,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
133,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
134,Number,What is 18 + 12?,28,29,30,31,C,2,Yes,
135,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
136,Number,What is 16 + 3?,17,18,19,20,C,2,Yes,
137,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
138,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
139,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
140,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
141,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
142,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
143,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
144,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
145,Algebra,What is x if x + 7 = 14?,6,7,8,9,B,1,Yes,
146,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
147,Number,What is 18 + 9?,25,26,27,28,C,2,Yes,
148,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
149,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
150,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
151,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
152,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
153,Number,What is 3 + 5?,6,7,8,9,C,2,Yes,
154,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
155,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
156,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
157,Algebra,What is x if x + 6 = 12?,5,6,7,8,B,1,Yes,
158,Algebra,What is x if x + 6 = 12?,5,6,7,8,B,1,Yes,
159,Algebra,What is x if x + 6 = 12?,5,6,7,8,B,1,Yes,
160,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
161,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
162,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
163,Number,What is 5 + 15?,18,19,20,21,C,2,Yes,
164,Number,What is 14 + 10?,22,23,24,25,C,2,Yes,
165,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
166,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
167,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
168,Algebra,What is x if x + 2 = 4?,1,2,3,4,B,1,Yes,
169,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
170,Algebra,What is x if x + 10 = 20?,9,10,11,12,B,1,Yes,
171,Algebra,What is x if x + 5 = 10?,4,5,6,7,B,1,Yes,
172,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
173,Number,What is 2 + 18?,18,19,20,21,C,2,Yes,
174,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
175,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
176,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
177,Number,What is 11 + 10?,19,20,21,22,C,2,Yes,
178,Number,What is 17 + 4?,19,20,21,22,C,2,Yes,
179,Number,What is 18 + 10?,26,27,28,29,C,2,Yes,
180,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
181,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
182,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
183,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
184,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
185,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
186,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
187,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
188,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
189,Algebra,What is x if x + 5 = 10?,4,5,6,7,B,1,Yes,
190,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
191,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
192,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
193,Algebra,What is x if x + 7 = 14?,6,7,8,9,B,1,Yes,
194,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
195,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
196,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
197,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
198,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
199,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
200,Number,What is 6 + 15?,19,20,21,22,C,2,Yes,
